"tutor_user_idx","student_user_idx","course_id","course_class_id","course_class_seq_id","quiz_submit_ratio","quiz_solving_cnt","quiz_solving_time","registered_by_user_idx","registered_date","last_modified_by_user_idx","last_modified_date"
"47","42","128","206","583",\0,\0,\0,"148","2022-07-25 14:21:13","148","2022-07-25 14:21:13"
"47","69","136","217","591",\0,\0,\0,"47","2022-07-25 16:55:41","47","2022-07-25 16:55:41"
"148","101","137","223","597","1.0000","2","0.0000","148","2022-07-26 10:33:25","148","2022-07-26 10:33:25"
"148","101","137","223","599",\0,\0,\0,"56","2022-07-26 10:52:20","56","2022-07-26 10:52:28"
"148","101","137","223","609",\0,\0,\0,"148","2022-07-26 13:40:58","148","2022-07-26 13:40:58"
"148","101","137","223","610",\0,\0,\0,"148","2022-07-26 13:41:27","148","2022-07-26 13:41:27"
"148","101","137","223","620",\0,\0,\0,"51","2022-07-26 15:09:57","51","2022-07-26 15:09:57"
"47","69","138","224","602","1.0000","2","0.0000","47","2022-07-26 11:24:02","47","2022-07-26 11:24:02"
"286","287","143","340","1129",\0,\0,\0,"286","2022-09-13 16:56:44","286","2022-09-13 16:56:44"
"47","109","144","232","629",\0,\0,\0,"47","2022-07-27 10:49:22","47","2022-07-27 10:49:22"
"47","160","144","232","629",\0,\0,\0,"47","2022-07-27 10:49:22","47","2022-07-27 10:49:22"
"46","101","145","236","634",\0,\0,\0,"51","2022-07-28 15:17:55","51","2022-07-28 15:17:55"
"46","101","145","236","635",\0,\0,\0,"46","2022-07-28 15:18:52","46","2022-07-28 15:18:52"
"46","101","145","236","640",\0,\0,\0,"46","2022-07-28 15:47:29","46","2022-07-28 15:47:29"
"47","69","147","237","638",\0,\0,\0,"47","2022-07-28 15:34:02","47","2022-07-28 15:43:25"
"47","99","147","237","638",\0,\0,\0,"47","2022-07-28 15:34:02","47","2022-07-28 15:43:25"
"47","156","147","237","638",\0,\0,\0,"47","2022-07-28 15:34:02","47","2022-07-28 15:43:25"
"47","170","147","237","638",\0,\0,\0,"47","2022-07-28 15:34:02","47","2022-07-28 15:43:25"
"47","69","147","239","641",\0,\0,\0,"47","2022-07-28 15:57:46","47","2022-07-28 15:57:46"
"47","101","147","239","641",\0,\0,\0,"47","2022-07-28 15:57:46","47","2022-07-28 15:57:46"
"47","69","148","240","643","1.0000","1","0.0000","47","2022-07-28 17:28:50","47","2022-07-28 17:28:50"
"47","99","148","240","643","0.0000","0",\0,"47","2022-07-28 17:28:50","47","2022-07-28 17:28:50"
"200","198","149","253","672",\0,\0,\0,"200","2022-08-11 16:05:39","200","2022-08-11 16:05:39"
"200","198","149","253","674",\0,\0,\0,"200","2022-08-11 18:12:31","200","2022-08-11 18:12:31"
"200","198","149","253","678",\0,\0,\0,"200","2022-08-12 16:48:46","200","2022-08-12 16:48:46"
"200","198","149","253","682",\0,\0,\0,"200","2022-08-12 17:05:02","200","2022-08-12 17:05:02"
"200","198","149","253","694",\0,\0,\0,"200","2022-08-13 14:01:53","200","2022-08-13 14:01:53"
"200","201","149","253","672",\0,\0,\0,"200","2022-08-11 16:05:39","200","2022-08-11 16:05:39"
"200","201","149","253","674",\0,\0,\0,"200","2022-08-11 18:12:31","200","2022-08-11 18:12:31"
"200","201","149","253","678",\0,\0,\0,"200","2022-08-12 16:48:46","200","2022-08-12 16:48:46"
"200","201","149","253","682",\0,\0,\0,"200","2022-08-12 17:05:02","200","2022-08-12 17:05:02"
"200","201","149","253","694",\0,\0,\0,"200","2022-08-13 14:01:53","200","2022-08-13 14:01:53"
"200","202","149","253","672",\0,\0,\0,"200","2022-08-11 16:05:39","200","2022-08-11 16:05:39"
"200","202","149","253","674",\0,\0,\0,"200","2022-08-11 18:12:31","200","2022-08-11 18:12:31"
"200","202","149","253","678",\0,\0,\0,"200","2022-08-12 16:48:46","200","2022-08-12 16:48:46"
"200","202","149","253","682",\0,\0,\0,"200","2022-08-12 17:05:02","200","2022-08-12 17:05:02"
"200","202","149","253","694",\0,\0,\0,"200","2022-08-13 14:01:53","200","2022-08-13 14:01:53"
"200","203","149","253","672",\0,\0,\0,"200","2022-08-11 16:05:39","200","2022-08-11 16:05:39"
"200","203","149","253","674",\0,\0,\0,"200","2022-08-11 18:12:31","200","2022-08-11 18:12:31"
"200","203","149","253","678",\0,\0,\0,"200","2022-08-12 16:48:46","200","2022-08-12 16:48:46"
"200","203","149","253","682",\0,\0,\0,"200","2022-08-12 17:05:02","200","2022-08-12 17:05:02"
"200","203","149","253","694",\0,\0,\0,"200","2022-08-13 14:01:53","200","2022-08-13 14:01:53"
