"tutor_user_idx","student_user_idx","course_id","course_class_id","community_write","community_reply","community_click_like_cnt","registered_by_user_idx","registered_date","last_modified_by_user_idx","last_modified_date"
"3","99","152","280","0","0","0","99","2022-08-14 18:35:36","99","2022-08-14 18:35:36"
"3","16","152","294","0","0","0","1","2022-08-24 08:56:21","1","2022-08-24 08:56:21"
"3","17","152","294","0","0","0","1","2022-08-24 08:56:21","1","2022-08-24 08:56:21"
"3","37","152","294","0","0","0","1","2022-08-24 08:56:21","1","2022-08-24 08:56:21"
"3","76","152","294","0","0","0","1","2022-08-24 08:56:21","1","2022-08-24 08:56:21"
"3","77","152","294","0","0","0","1","2022-08-24 08:56:21","1","2022-08-24 08:56:21"
"3","78","152","294","0","0","0","1","2022-08-24 08:56:21","1","2022-08-24 08:56:21"
"3","79","152","294","0","0","0","1","2022-08-24 08:56:21","1","2022-08-24 08:56:21"
"181","215","155","263","0","0","0","215","2022-08-14 09:17:22","215","2022-08-14 09:17:22"
"181","218","155","263","0","0","0","218","2022-08-14 10:09:30","218","2022-08-14 10:09:30"
"181","222","155","263","0","0","0","222","2022-08-14 09:23:36","222","2022-08-14 09:23:36"
"181","223","155","263","0","0","0","223","2022-08-14 10:09:47","223","2022-08-14 10:09:47"
"232","236","161","292","0","0","0","1","2022-08-23 13:55:50","1","2022-08-23 13:55:50"
"233","223","161","293","0","0","0","1","2022-08-25 18:28:13","1","2022-08-25 18:28:13"
"233","239","161","293","0","0","0","1","2022-08-27 15:46:21","1","2022-08-27 15:46:21"
"232","237","161","306","0","0","0","1","2022-08-29 16:11:26","1","2022-08-29 16:11:26"
"232","256","161","306","0","0","0","1","2022-08-31 09:32:29","1","2022-08-31 09:32:29"
"44","256","162","303","0","0","0","1","2022-08-25 15:46:45","1","2022-08-25 15:46:45"
"44","259","162","303","0","0","0","1","2022-08-25 15:58:06","1","2022-08-25 15:58:06"
"261","258","162","343","0","0","0","1","2022-09-15 21:18:05","1","2022-09-15 21:18:05"
"261","259","162","343","0","0","0","1","2022-09-15 21:15:44","1","2022-09-15 21:15:44"
"233","237","164","309","0","0","0","1","2022-08-29 16:16:00","1","2022-08-29 16:16:00"
"232","238","165","310","0","0","0","1","2022-08-29 16:35:15","1","2022-08-29 16:35:15"
"233","238","166","311","0","0","0","1","2022-08-29 17:57:59","1","2022-08-29 17:57:59"
"232","236","167","312","0","0","0","1","2022-08-29 18:55:39","1","2022-08-29 18:55:39"
"232","236","168","314","0","0","0","1","2022-08-29 20:41:19","1","2022-08-29 20:41:19"
"232","238","168","314","0","0","0","1","2022-08-29 21:14:40","1","2022-08-29 21:14:40"
"243","256","169","315","0","0","0","1","2022-08-30 13:53:22","1","2022-08-30 13:53:22"
"243","258","169","315","0","0","0","1","2022-08-30 15:32:01","1","2022-08-30 15:32:01"
"243","259","169","315","0","0","0","1","2022-08-30 17:15:40","1","2022-08-30 17:15:40"
"243","256","170","334","0","0","0","1","2022-09-07 09:45:44","1","2022-09-07 09:45:44"
"245","256","170","336","0","0","0","1","2022-09-07 10:35:52","1","2022-09-07 10:35:52"
"244","256","172","322","0","0","0","1","2022-08-31 10:11:56","1","2022-08-31 10:11:56"
"244","258","172","322","0","0","0","1","2022-08-31 10:18:10","1","2022-08-31 10:18:10"
"244","259","172","322","0","0","0","1","2022-08-31 10:46:16","1","2022-08-31 10:46:16"
"233","238","173","325","0","0","0","1","2022-08-31 11:05:56","1","2022-08-31 11:05:56"
"233","257","173","325","0","0","0","1","2022-08-31 13:19:04","1","2022-08-31 13:19:04"
"232","238","174","326","0","0","0","1","2022-08-31 14:00:12","1","2022-08-31 14:00:12"
"232","258","174","326","0","0","0","1","2022-08-31 15:49:18","1","2022-08-31 15:49:18"
"270","275","175","327","0","0","0","1","2022-08-31 15:34:23","1","2022-08-31 15:34:23"
"148","160","176","328","0","0","0","1","2022-08-31 16:43:48","1","2022-09-01 15:05:57"
"243","256","177","329","0","0","0","1","2022-08-31 16:51:54","1","2022-08-31 16:51:54"
"243","259","177","329","0","0","0","1","2022-09-01 11:12:08","1","2022-09-01 11:12:08"
"245","256","178","330","0","0","0","1","2022-09-01 08:54:59","1","2022-09-01 08:54:59"
"245","257","178","330","0","0","0","1","2022-09-01 08:53:10","1","2022-09-01 08:53:10"
"245","258","178","330","0","0","0","1","2022-09-01 09:04:49","1","2022-09-01 09:04:49"
"245","259","178","330","0","0","0","1","2022-09-01 09:44:02","1","2022-09-01 09:44:02"
"232","236","181","333","0","0","0","1","2022-09-06 21:38:40","1","2022-09-06 21:38:40"
"232","236","181","346","0","0","0","1","2022-09-19 16:56:50","1","2022-09-19 16:56:50"
"232","238","181","346","0","0","0","1","2022-09-19 16:57:37","1","2022-09-19 16:57:37"
"277","281","182","338","0","0","0","1","2022-09-07 12:50:54","1","2022-09-07 12:50:54"
"277","282","182","338","0","0","0","1","2022-09-07 12:54:06","1","2022-09-07 12:54:06"
"232","236","183","341","0","0","0","1","2022-09-14 16:38:23","1","2022-09-14 16:38:23"
