tutor_user_idx,student_user_idx,course_id,course_class_id,course_class_seq_id,tutor_class_prgr_yn,community_feedback,satisfaction_score,student_avg_score,dropout_student_yn,student_satisfaction_score,parents_satisfaction_score,student_participate_level,student_avg_participate_level,registered_by_user_idx,registered_date,last_modified_by_user_idx,last_modified_date
64,61,124,241,649,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-02 13:06,1,2022-08-05 16:18
64,99,124,241,649,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-02 13:06,1,2022-08-05 16:18
64,132,124,241,649,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-02 13:06,1,2022-08-05 16:18
64,145,124,241,649,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-02 13:06,1,2022-08-05 16:18
64,170,124,241,649,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-02 13:06,1,2022-08-05 16:18
64,171,124,241,649,0,\0,\0,\0,1,\0,\0,\0,\0,1,2022-08-02 13:06,1,2022-08-05 16:18
64,24,124,241,651,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-03 16:52,1,2022-08-05 16:18
64,25,124,241,651,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-03 16:52,1,2022-08-05 16:18
64,61,124,241,651,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-03 16:52,1,2022-08-05 16:18
64,99,124,241,651,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-03 16:52,1,2022-08-05 16:18
64,132,124,241,651,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-03 16:52,1,2022-08-05 16:18
64,145,124,241,651,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-03 16:52,1,2022-08-05 16:18
64,170,124,241,651,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-03 16:52,1,2022-08-05 16:18
64,171,124,241,651,0,\0,\0,\0,0,\0,\0,\0,\0,1,2022-08-03 16:52,1,2022-08-05 16:18
47,69,125,202,574,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-22 15:31,47,2022-07-22 15:31
47,69,127,205,578,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-25 10:13,47,2022-07-25 10:13
47,42,128,206,579,0,\0,\0,\0,0,\0,\0,\0,\0,148,2022-07-25 13:12,56,2022-07-25 16:53
47,42,128,206,583,0,\0,\0,\0,0,\0,\0,\0,\0,148,2022-07-25 14:21,56,2022-07-25 16:53
47,69,136,217,591,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-25 16:55,47,2022-07-25 16:55
148,101,137,223,597,1,부모님 학습태도가 우수합니다.학생분 태도가 불량합니다.,\0,0,0,\0,\0,0,1,148,2022-07-26 10:33,148,2022-07-26 10:33
148,101,137,223,599,0,\0,\0,\0,0,\0,\0,\0,\0,56,2022-07-26 10:52,56,2022-07-26 10:52
148,101,137,223,609,0,\0,\0,\0,0,\0,\0,\0,\0,148,2022-07-26 13:40,148,2022-07-26 13:40
148,101,137,223,610,1,\0,\0,\0,0,\0,\0,0,1,148,2022-07-26 13:41,148,2022-07-26 13:41
148,101,137,223,620,0,\0,\0,\0,0,\0,\0,\0,\0,51,2022-07-26 15:09,51,2022-07-26 15:09
47,69,138,224,602,1,ㅇㅇㅇㅇ,\0,20,0,\0,\0,300,1,47,2022-07-26 11:24,47,2022-07-26 11:24
286,287,143,340,1129,0,\0,\0,\0,0,\0,\0,\0,\0,286,2022-09-13 16:56,284,2022-09-13 16:56
47,109,144,232,629,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-27 10:49,47,2022-07-27 10:49
47,160,144,232,629,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-27 10:49,47,2022-07-27 10:49
46,101,145,236,634,0,1122,\0,\0,0,\0,\0,\0,\0,51,2022-07-28 15:17,46,2022-07-28 15:47
46,101,145,236,635,0,\0,\0,\0,0,\0,\0,\0,\0,46,2022-07-28 15:18,46,2022-07-28 15:47
46,101,145,236,640,0,\0,\0,\0,0,\0,\0,\0,\0,46,2022-07-28 15:47,46,2022-07-28 15:47
47,69,147,237,638,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-28 15:34,47,2022-07-28 15:43
47,99,147,237,638,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-28 15:34,47,2022-07-28 15:43
47,156,147,237,638,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-28 15:34,47,2022-07-28 15:43
47,170,147,237,638,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-28 15:34,47,2022-07-28 15:43
47,69,147,239,641,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-28 15:57,1,2022-08-16 10:51
47,101,147,239,641,0,\0,\0,\0,0,\0,\0,\0,\0,47,2022-07-28 15:57,1,2022-08-16 10:51
47,16,148,240,643,1,\0,\0,50,0,\0,\0,0,1,47,2022-07-28 17:28,1,2022-08-05 17:38
47,17,148,240,643,1,\0,\0,50,0,\0,\0,0,1,47,2022-07-28 17:28,1,2022-08-05 17:38
47,69,148,240,643,1,1111111222,\0,50,0,\0,\0,0,1,47,2022-07-28 17:28,1,2022-08-05 17:38
47,76,148,240,643,1,\0,\0,50,0,\0,\0,0,1,47,2022-07-28 17:28,1,2022-08-05 17:38
47,99,148,240,643,1,\0,5,50,0,\0,5,0,1,47,2022-07-28 17:28,1,2022-08-05 17:38
200,198,149,253,672,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-11 16:05,1,2022-08-13 14:01
200,201,149,253,672,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-11 16:05,1,2022-08-13 14:01
200,202,149,253,672,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-11 16:05,1,2022-08-13 14:01
200,203,149,253,672,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-11 16:05,1,2022-08-13 14:01
200,204,149,253,672,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-11 16:05,1,2022-08-13 14:01
200,198,149,253,674,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-11 18:12,1,2022-08-13 14:01
200,201,149,253,674,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-11 18:12,1,2022-08-13 14:01
200,202,149,253,674,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-11 18:12,1,2022-08-13 14:01
200,203,149,253,674,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-11 18:12,1,2022-08-13 14:01
200,204,149,253,674,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-11 18:12,1,2022-08-13 14:01
200,198,149,253,678,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-12 16:48,1,2022-08-13 14:01
200,201,149,253,678,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-12 16:48,1,2022-08-13 14:01
200,202,149,253,678,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-12 16:48,1,2022-08-13 14:01
200,203,149,253,678,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-12 16:48,1,2022-08-13 14:01
200,204,149,253,678,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-12 16:48,1,2022-08-13 14:01
200,198,149,253,682,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-12 17:05,1,2022-08-13 14:01
200,201,149,253,682,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-12 17:05,1,2022-08-13 14:01
200,202,149,253,682,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-12 17:05,1,2022-08-13 14:01
200,203,149,253,682,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-12 17:05,1,2022-08-13 14:01
200,204,149,253,682,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-12 17:05,1,2022-08-13 14:01
200,198,149,253,694,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-13 14:01,1,2022-08-13 14:01
200,201,149,253,694,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-13 14:01,1,2022-08-13 14:01
200,202,149,253,694,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-13 14:01,1,2022-08-13 14:01
200,203,149,253,694,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-13 14:01,1,2022-08-13 14:01
200,204,149,253,694,0,\0,\0,\0,0,\0,\0,\0,\0,200,2022-08-13 14:01,1,2022-08-13 14:01
178,216,150,270,836,0,\0,\0,\0,0,\0,\0,\0,\0,178,2022-08-17 18:37,178,2022-08-17 18:41
178,216,150,270,837,0,\0,\0,\0,0,\0,\0,\0,\0,178,2022-08-17 18:41,178,2022-08-17 18:41
181,223,150,304,945,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-26 9:44,196,2022-08-26 10:40
181,260,150,304,945,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-26 9:44,196,2022-08-26 10:40
181,223,150,304,946,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-26 9:45,196,2022-08-26 10:40
181,260,150,304,946,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-26 9:45,196,2022-08-26 10:40
3,79,151,283,833,1,\0,\0,0,0,\0,\0,0,1,3,2022-08-16 12:12,1,2022-08-16 12:12
178,99,152,251,668,1,안뇽허세요안뇽허세요,\0,\0,0,\0,\0,0,1,178,2022-08-09 19:05,1,2022-08-09 22:24
178,109,152,251,668,1,\0,\0,\0,0,\0,\0,0,1,178,2022-08-09 19:05,1,2022-08-09 22:24
178,258,152,251,668,1,\0,\0,\0,0,\0,\0,0,1,178,2022-08-09 19:05,1,2022-08-09 22:24
178,99,152,251,669,0,\0,\0,\0,0,\0,\0,\0,\0,178,2022-08-09 22:24,1,2022-08-09 22:24
178,109,152,251,669,0,\0,\0,\0,0,\0,\0,\0,\0,178,2022-08-09 22:24,1,2022-08-09 22:24
178,258,152,251,669,0,\0,\0,\0,0,\0,\0,\0,\0,178,2022-08-09 22:24,1,2022-08-09 22:24
3,99,152,280,827,0,\0,\0,\0,0,\0,\0,\0,\0,3,2022-08-14 18:27,1,2022-08-14 18:30
3,16,152,294,850,0,\0,\0,\0,0,\0,\0,\0,\0,3,2022-08-24 8:55,1,2022-08-24 8:55
3,17,152,294,850,0,\0,\0,\0,0,\0,\0,\0,\0,3,2022-08-24 8:55,1,2022-08-24 8:55
3,37,152,294,850,0,\0,\0,\0,0,\0,\0,\0,\0,3,2022-08-24 8:55,1,2022-08-24 8:55
3,76,152,294,850,0,\0,\0,\0,0,\0,\0,\0,\0,3,2022-08-24 8:55,1,2022-08-24 8:55
3,77,152,294,850,0,\0,\0,\0,0,\0,\0,\0,\0,3,2022-08-24 8:55,1,2022-08-24 8:55
3,78,152,294,850,0,\0,\0,\0,0,\0,\0,\0,\0,3,2022-08-24 8:55,1,2022-08-24 8:55
3,79,152,294,850,0,\0,\0,\0,0,\0,\0,\0,\0,3,2022-08-24 8:55,1,2022-08-24 8:55
181,215,155,263,778,1,\0,\0,\0,0,\0,\0,0,1,181,2022-08-14 8:59,172,2022-08-14 9:00
181,218,155,263,778,1,\0,\0,\0,0,\0,\0,0,1,181,2022-08-14 8:59,172,2022-08-14 9:00
181,222,155,263,778,1,\0,\0,\0,0,\0,\0,0,1,181,2022-08-14 8:59,172,2022-08-14 9:00
181,223,155,263,778,1,\0,\0,\0,0,\0,\0,0,1,181,2022-08-14 8:59,172,2022-08-14 9:00
181,215,155,263,779,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 8:59,172,2022-08-14 9:01
181,218,155,263,779,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 8:59,172,2022-08-14 9:01
181,222,155,263,779,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 8:59,172,2022-08-14 9:01
181,223,155,263,779,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 8:59,172,2022-08-14 9:01
181,215,155,263,780,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 8:59,172,2022-08-14 9:00
181,218,155,263,780,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 8:59,172,2022-08-14 9:00
181,222,155,263,780,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 8:59,172,2022-08-14 9:00
181,223,155,263,780,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 8:59,172,2022-08-14 9:00
181,215,155,263,781,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,218,155,263,781,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,222,155,263,781,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,223,155,263,781,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,215,155,263,782,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,218,155,263,782,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,222,155,263,782,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,223,155,263,782,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,215,155,263,783,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,218,155,263,783,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,222,155,263,783,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,223,155,263,783,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,215,155,263,784,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,218,155,263,784,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,222,155,263,784,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,223,155,263,784,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,215,155,263,785,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,218,155,263,785,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,222,155,263,785,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
181,223,155,263,785,0,\0,\0,\0,0,\0,\0,\0,\0,181,2022-08-14 9:00,172,2022-08-14 9:00
232,236,161,292,846,0,\0,\0,\0,0,\0,\0,\0,\0,232,2022-08-19 14:03,232,2022-08-31 10:42
232,236,161,292,847,0,\0,\0,\0,0,\0,\0,\0,\0,232,2022-08-19 14:28,232,2022-08-31 10:42
232,236,161,292,848,0,\0,\0,\0,0,\0,\0,\0,\0,232,2022-08-19 14:29,232,2022-08-31 10:42
232,236,161,292,927,0,\0,\0,\0,0,\0,\0,\0,\0,232,2022-08-24 18:57,232,2022-08-31 10:42
232,236,161,292,944,0,\0,\0,\0,0,\0,\0,\0,\0,232,2022-08-25 20:38,232,2022-08-31 10:42
232,236,161,292,947,0,\0,\0,\0,0,\0,\0,\0,\0,232,2022-08-26 11:29,232,2022-08-31 10:42
232,236,161,292,963,0,\0,\0,\0,0,\0,\0,\0,\0,232,2022-08-29 14:57,232,2022-08-31 10:42
232,236,161,292,1053,0,\0,\0,\0,0,\0,\0,\0,\0,232,2022-08-31 10:42,232,2022-08-31 10:42
233,223,161,293,954,0,\0,\0,\0,0,\0,\0,\0,\0,233,2022-08-26 12:32,233,2022-08-27 15:44
