tutor_user_idx,course_id,course_class_id,course_class_seq_id,plan_id,start_date,end_date,registered_by_user_idx,registered_date,last_modified_by_user_idx,last_modified_date
47,147,238,652,201282,2022-08-03 3:00,2022-08-03 3:30,1,2022-08-03 17:46,1,2022-08-03 17:46
47,147,239,641,201066,2022-07-28 16:00,2022-07-28 16:30,47,2022-07-28 15:57,47,2022-07-28 15:57
47,148,240,643,201070,2022-07-28 17:30,2022-07-28 18:00,47,2022-07-28 17:28,47,2022-07-28 17:28
6,149,243,670,201545,2022-08-11 1:00,2022-08-12 0:00,6,2022-08-11 15:31,6,2022-08-11 15:31
200,149,253,672,201549,2022-08-11 16:30,2022-08-11 18:00,200,2022-08-11 16:05,200,2022-08-11 16:05
200,149,253,674,201582,2022-08-11 18:30,2022-08-11 19:00,200,2022-08-11 18:12,200,2022-08-11 18:12
200,149,253,678,201628,2022-08-12 17:00,2022-08-12 17:30,200,2022-08-12 16:48,200,2022-08-12 16:48
200,149,253,682,201629,2022-08-12 17:30,2022-08-12 18:00,200,2022-08-12 17:05,200,2022-08-12 17:05
200,149,253,694,201636,2022-08-13 14:00,2022-08-13 14:30,200,2022-08-13 14:01,200,2022-08-13 14:01
178,150,270,836,201902,2022-08-17 19:00,2022-08-17 19:30,178,2022-08-17 18:37,178,2022-08-17 18:37
178,150,270,837,201903,2022-08-17 19:30,2022-08-17 20:00,178,2022-08-17 18:41,178,2022-08-17 18:41
181,150,273,938,202303,2022-08-25 18:30,2022-08-25 20:00,181,2022-08-25 18:20,181,2022-08-25 18:20
181,150,304,945,202310,2022-08-26 10:00,2022-08-26 11:00,181,2022-08-26 9:44,181,2022-08-26 9:44
181,150,304,946,202312,2022-08-26 11:00,2022-08-26 12:00,181,2022-08-26 9:45,181,2022-08-26 9:45
115,151,249,662,201383,2022-08-08 18:00,2022-08-08 18:30,115,2022-08-08 17:59,115,2022-08-08 17:59
115,151,250,665,201386,2022-08-08 19:00,2022-08-08 19:30,115,2022-08-08 18:50,115,2022-08-08 18:50
3,151,283,833,201710,2022-08-16 12:00,2022-08-16 12:30,3,2022-08-16 12:12,3,2022-08-16 12:12
178,152,251,668,201429,2022-08-09 19:00,2022-08-09 19:30,178,2022-08-09 19:05,178,2022-08-09 19:05
178,152,251,669,201431,2022-08-09 23:00,2022-08-09 23:30,178,2022-08-09 22:24,178,2022-08-09 22:24
3,152,280,827,201672,2022-08-14 12:00,2022-08-14 12:30,3,2022-08-14 18:27,3,2022-08-14 18:27
3,152,294,850,202242,2022-08-24 1:00,2022-08-24 10:00,3,2022-08-24 8:55,3,2022-08-24 8:55
3,154,313,1018,202393,2022-08-29 20:30,2022-08-29 21:00,3,2022-08-29 20:31,3,2022-08-29 20:31
178,155,260,770,201640,2022-08-14 9:00,2022-08-14 9:30,178,2022-08-14 8:56,178,2022-08-14 8:56
178,155,260,771,201641,2022-08-14 10:00,2022-08-14 10:30,178,2022-08-14 8:57,178,2022-08-14 8:57
178,155,260,772,201642,2022-08-14 11:00,2022-08-14 11:30,178,2022-08-14 8:57,178,2022-08-14 8:57
178,155,260,773,201643,2022-08-14 12:00,2022-08-14 12:30,178,2022-08-14 8:58,178,2022-08-14 8:58
178,155,260,774,201644,2022-08-14 13:00,2022-08-14 13:30,178,2022-08-14 8:58,178,2022-08-14 8:58
178,155,260,775,201645,2022-08-14 14:00,2022-08-14 14:30,178,2022-08-14 8:58,178,2022-08-14 8:58
178,155,260,776,201646,2022-08-14 15:00,2022-08-14 15:30,178,2022-08-14 8:58,178,2022-08-14 8:58
178,155,260,777,201647,2022-08-14 16:00,2022-08-14 16:30,178,2022-08-14 8:59,178,2022-08-14 8:59
181,155,263,778,201648,2022-08-14 9:00,2022-08-14 9:30,181,2022-08-14 8:59,181,2022-08-14 8:59
181,155,263,779,201649,2022-08-14 10:00,2022-08-14 10:30,181,2022-08-14 8:59,172,2022-08-14 9:01
181,155,263,780,201650,2022-08-14 11:00,2022-08-14 11:30,181,2022-08-14 8:59,181,2022-08-14 8:59
181,155,263,781,201651,2022-08-14 12:00,2022-08-14 12:30,181,2022-08-14 9:00,181,2022-08-14 9:00
181,155,263,782,201652,2022-08-14 13:00,2022-08-14 13:30,181,2022-08-14 9:00,181,2022-08-14 9:00
181,155,263,783,201653,2022-08-14 14:00,2022-08-14 14:30,181,2022-08-14 9:00,181,2022-08-14 9:00
181,155,263,784,201654,2022-08-14 15:00,2022-08-14 15:30,181,2022-08-14 9:00,181,2022-08-14 9:00
181,155,263,785,201655,2022-08-14 16:00,2022-08-14 16:30,181,2022-08-14 9:00,181,2022-08-14 9:00
3,156,281,829,201674,2022-08-15 14:00,2022-08-15 14:30,3,2022-08-15 15:55,3,2022-08-15 15:55
3,156,282,831,201675,2022-08-15 16:00,2022-08-15 16:30,3,2022-08-15 15:56,3,2022-08-15 15:56
232,161,292,846,202044,2022-08-19 14:00,2022-08-19 18:00,232,2022-08-19 14:03,231,2022-08-19 14:04
232,161,292,847,202048,2022-08-23 9:00,2022-08-23 19:30,232,2022-08-19 14:28,232,2022-08-19 14:28
232,161,292,848,202049,2022-08-24 6:00,2022-08-24 17:30,232,2022-08-19 14:29,232,2022-08-19 14:29
232,161,292,927,202264,2022-08-24 18:00,2022-08-24 23:30,232,2022-08-24 18:57,232,2022-08-24 18:57
232,161,292,944,202309,2022-08-25 21:30,2022-08-26 0:00,232,2022-08-25 20:38,232,2022-08-25 20:38
232,161,292,947,202322,2022-08-26 12:00,2022-08-26 18:30,232,2022-08-26 11:29,232,2022-08-26 11:29
232,161,292,963,202378,2022-08-29 15:30,2022-08-29 16:00,232,2022-08-29 14:57,232,2022-08-29 14:57
232,161,292,1053,202445,2022-08-31 11:00,2022-08-31 12:00,232,2022-08-31 10:42,232,2022-08-31 10:42
233,161,293,954,202330,2022-08-26 12:30,2022-08-26 13:00,233,2022-08-26 12:32,233,2022-08-26 12:32
233,161,293,955,202331,2022-08-26 1:00,2022-08-26 1:30,233,2022-08-26 12:32,233,2022-08-26 12:32
233,161,293,956,202332,2022-08-26 13:30,2022-08-26 14:00,233,2022-08-26 12:33,233,2022-08-26 12:33
233,161,293,957,202357,2022-08-26 21:00,2022-08-26 21:30,233,2022-08-26 20:37,233,2022-08-26 20:37
233,161,293,958,202359,2022-08-27 15:30,2022-08-27 16:00,233,2022-08-27 14:39,233,2022-08-27 14:39
233,161,293,959,202360,2022-08-27 16:30,2022-08-27 17:00,233,2022-08-27 15:43,233,2022-08-27 15:43
233,161,293,960,202361,2022-08-27 17:00,2022-08-27 17:30,233,2022-08-27 15:44,233,2022-08-27 15:44
233,161,293,961,202362,2022-08-27 17:30,2022-08-27 18:00,233,2022-08-27 15:44,233,2022-08-27 15:44
233,161,293,962,202363,2022-08-27 18:00,2022-08-27 18:30,233,2022-08-27 15:44,233,2022-08-27 15:44
243,161,299,1046,202441,2022-08-31 9:30,2022-08-31 12:00,243,2022-08-31 9:26,243,2022-08-31 9:26
232,161,306,994,202379,2022-08-29 15:00,2022-08-29 15:30,232,2022-08-29 15:19,232,2022-08-29 15:19
232,161,306,995,202380,2022-08-29 16:00,2022-08-29 16:30,232,2022-08-29 15:20,232,2022-08-29 15:20
44,162,303,937,202284,2022-08-25 16:00,2022-08-25 20:30,44,2022-08-25 15:42,44,2022-08-25 15:42
44,162,303,942,202304,2022-08-25 18:00,2022-08-25 18:30,44,2022-08-25 18:48,44,2022-08-25 18:48
44,162,303,943,202305,2022-08-25 19:00,2022-08-25 19:30,44,2022-08-25 18:49,44,2022-08-25 18:49
44,162,303,948,202323,2022-08-26 12:00,2022-08-26 12:30,44,2022-08-26 11:37,44,2022-08-26 11:37
261,162,305,952,202326,2022-08-26 12:30,2022-08-26 13:00,261,2022-08-26 12:04,261,2022-08-26 12:04
261,162,305,953,202329,2022-08-26 13:00,2022-08-26 13:30,261,2022-08-26 12:11,261,2022-08-26 12:11
261,162,343,1157,202839,2022-09-15 21:00,2022-09-15 23:30,261,2022-09-15 21:05,261,2022-09-15 21:05
